time,chunk_idx,win_idx,sqa_score,sqa_pass,prob_normal,chunk_label,chunk_prob_normal
2026-03-22 23:09:49,1,1,0.9999,True,0.0018,Abnormal,0.0177
2026-03-22 23:09:49,1,2,0.9999,True,0.0142,Abnormal,0.0177
2026-03-22 23:09:49,1,3,0.9866,True,0.0396,Abnormal,0.0177
2026-03-22 23:09:49,1,4,0.9957,True,0.0119,Abnormal,0.0177
2026-03-22 23:09:49,1,5,0.9995,True,0.0026,Abnormal,0.0177
2026-03-22 23:09:49,1,6,0.9683,True,0.0330,Abnormal,0.0177
2026-03-22 23:09:49,1,7,0.6789,True,0.0032,Abnormal,0.0177
2026-03-22 23:09:49,1,8,0.9759,True,0.0012,Abnormal,0.0177
2026-03-22 23:09:49,1,9,0.8856,True,0.0322,Abnormal,0.0177
2026-03-22 23:09:49,1,10,0.9982,True,0.0213,Abnormal,0.0177
2026-03-22 23:09:49,1,11,0.9971,True,0.0375,Abnormal,0.0177
2026-03-22 23:09:49,1,12,0.9957,True,0.0135,Abnormal,0.0177
2026-03-22 23:09:49,1,13,0.9966,True,0.0048,Abnormal,0.0177
2026-03-22 23:09:49,1,14,0.9875,True,0.0363,Abnormal,0.0177
2026-03-22 23:09:49,1,15,0.9630,True,0.0059,Abnormal,0.0177
2026-03-22 23:09:49,1,16,0.9980,True,0.0104,Abnormal,0.0177
2026-03-22 23:09:49,1,17,0.9965,True,0.0044,Abnormal,0.0177
2026-03-22 23:09:49,1,18,0.9994,True,0.0162,Abnormal,0.0177
2026-03-22 23:09:49,1,19,0.9735,True,0.0440,Abnormal,0.0177
2026-03-22 23:10:06,2,1,0.9964,True,0.0593,Abnormal,0.0236
2026-03-22 23:10:06,2,2,0.9996,True,0.0123,Abnormal,0.0236
2026-03-22 23:10:06,2,3,0.9998,True,0.0020,Abnormal,0.0236
2026-03-22 23:10:06,2,4,0.9984,True,0.0300,Abnormal,0.0236
2026-03-22 23:10:06,2,5,0.9999,True,0.0009,Abnormal,0.0236
2026-03-22 23:10:06,2,6,0.9930,True,0.0152,Abnormal,0.0236
2026-03-22 23:10:06,2,7,0.6784,True,0.0101,Abnormal,0.0236
2026-03-22 23:10:06,2,8,0.9583,True,0.0057,Abnormal,0.0236
2026-03-22 23:10:06,2,9,0.9843,True,0.0150,Abnormal,0.0236
2026-03-22 23:10:06,2,10,0.9991,True,0.0407,Abnormal,0.0236
2026-03-22 23:10:06,2,11,0.9994,True,0.0912,Abnormal,0.0236
2026-03-22 23:10:06,2,12,0.6965,True,0.0203,Abnormal,0.0236
2026-03-22 23:10:06,2,13,0.9777,True,0.0386,Abnormal,0.0236
2026-03-22 23:10:06,2,14,0.9964,True,0.0093,Abnormal,0.0236
2026-03-22 23:10:06,2,15,0.8555,True,0.0052,Abnormal,0.0236
2026-03-22 23:10:06,2,16,0.9992,True,0.0415,Abnormal,0.0236
2026-03-22 23:10:06,2,17,0.9999,True,0.0004,Abnormal,0.0236
2026-03-22 23:10:06,2,18,0.9997,True,0.0008,Abnormal,0.0236
2026-03-22 23:10:06,2,19,0.9983,True,0.0424,Abnormal,0.0236
2026-03-22 23:10:26,3,1,0.9523,True,0.0014,Abnormal,0.0155
2026-03-22 23:10:26,3,2,0.9958,True,0.0024,Abnormal,0.0155
2026-03-22 23:10:26,3,3,0.8606,True,0.0935,Abnormal,0.0155
2026-03-22 23:10:26,3,4,0.0004,False,,Abnormal,0.0155
2026-03-22 23:10:26,3,5,0.0000,False,,Abnormal,0.0155
2026-03-22 23:10:26,3,6,0.0013,False,,Abnormal,0.0155
2026-03-22 23:10:26,3,7,0.2554,False,,Abnormal,0.0155
2026-03-22 23:10:26,3,8,0.9991,True,0.0049,Abnormal,0.0155
2026-03-22 23:10:26,3,9,0.9853,True,0.0449,Abnormal,0.0155
2026-03-22 23:10:26,3,10,0.8482,True,0.0039,Abnormal,0.0155
2026-03-22 23:10:26,3,11,0.9785,True,0.0023,Abnormal,0.0155
2026-03-22 23:10:26,3,12,0.9479,True,0.0014,Abnormal,0.0155
2026-03-22 23:10:26,3,13,0.9978,True,0.0040,Abnormal,0.0155
2026-03-22 23:10:26,3,14,0.9846,True,0.0069,Abnormal,0.0155
2026-03-22 23:10:26,3,15,0.9996,True,0.0061,Abnormal,0.0155
2026-03-22 23:10:26,3,16,0.9999,True,0.0312,Abnormal,0.0155
2026-03-22 23:10:26,3,17,0.9999,True,0.0048,Abnormal,0.0155
2026-03-22 23:10:26,3,18,0.9938,True,0.0057,Abnormal,0.0155
2026-03-22 23:10:26,3,19,0.9852,True,0.0264,Abnormal,0.0155
2026-03-22 23:10:46,4,1,0.9994,True,0.0021,Abnormal,0.0027
2026-03-22 23:10:46,4,2,0.9992,True,0.0118,Abnormal,0.0027
2026-03-22 23:10:46,4,3,0.9993,True,0.0012,Abnormal,0.0027
2026-03-22 23:10:46,4,4,0.9979,True,0.0007,Abnormal,0.0027
2026-03-22 23:10:46,4,5,0.4510,False,,Abnormal,0.0027
2026-03-22 23:10:46,4,6,0.8966,True,0.0014,Abnormal,0.0027
2026-03-22 23:10:46,4,7,0.9904,True,0.0014,Abnormal,0.0027
2026-03-22 23:10:46,4,8,0.9958,True,0.0004,Abnormal,0.0027
2026-03-22 23:10:46,4,9,0.9998,True,0.0009,Abnormal,0.0027
2026-03-22 23:10:46,4,10,0.9995,True,0.0007,Abnormal,0.0027
2026-03-22 23:10:46,4,11,0.9448,True,0.0005,Abnormal,0.0027
2026-03-22 23:10:46,4,12,0.8510,True,0.0027,Abnormal,0.0027
2026-03-22 23:10:46,4,13,0.9741,True,0.0008,Abnormal,0.0027
2026-03-22 23:10:46,4,14,0.9993,True,0.0015,Abnormal,0.0027
2026-03-22 23:10:46,4,15,0.9996,True,0.0015,Abnormal,0.0027
2026-03-22 23:10:46,4,16,0.9998,True,0.0004,Abnormal,0.0027
2026-03-22 23:10:46,4,17,0.9981,True,0.0120,Abnormal,0.0027
2026-03-22 23:10:46,4,18,0.9870,True,0.0020,Abnormal,0.0027
2026-03-22 23:10:46,4,19,0.9986,True,0.0061,Abnormal,0.0027
2026-03-22 23:11:06,5,1,0.9992,True,0.0013,Abnormal,0.0082
2026-03-22 23:11:06,5,2,0.9992,True,0.0073,Abnormal,0.0082
2026-03-22 23:11:06,5,3,0.9743,True,0.0022,Abnormal,0.0082
2026-03-22 23:11:06,5,4,0.9997,True,0.0094,Abnormal,0.0082
2026-03-22 23:11:06,5,5,0.9924,True,0.0818,Abnormal,0.0082
2026-03-22 23:11:06,5,6,0.9700,True,0.0138,Abnormal,0.0082
2026-03-22 23:11:06,5,7,0.9310,True,0.0007,Abnormal,0.0082
2026-03-22 23:11:06,5,8,0.9660,True,0.0003,Abnormal,0.0082
2026-03-22 23:11:06,5,9,0.9966,True,0.0002,Abnormal,0.0082
2026-03-22 23:11:06,5,10,0.9973,True,0.0067,Abnormal,0.0082
2026-03-22 23:11:06,5,11,0.9963,True,0.0010,Abnormal,0.0082
2026-03-22 23:11:06,5,12,0.9855,True,0.0002,Abnormal,0.0082
