fname,label,filepath,score
a0001,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0001.wav,1
a0002,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0002.wav,1
a0003,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0003.wav,1
a0004,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0004.wav,1
a0005,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0005.wav,1
a0006,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0006.wav,0
a0007,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0007.wav,1
a0008,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0008.wav,0
a0009,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0009.wav,1
a0010,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0010.wav,1
a0011,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0011.wav,1
a0012,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0012.wav,1
a0013,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0013.wav,1
a0014,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0014.wav,1
a0015,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0015.wav,1
a0016,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0016.wav,1
a0017,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0017.wav,1
a0018,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0018.wav,1
a0019,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0019.wav,1
a0020,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0020.wav,1
a0021,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0021.wav,1
a0022,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0022.wav,1
a0023,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0023.wav,1
a0024,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0024.wav,1
a0025,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0025.wav,1
a0026,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0026.wav,1
a0027,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0027.wav,1
a0028,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0028.wav,1
a0029,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0029.wav,1
a0030,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0030.wav,1
a0031,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0031.wav,1
a0032,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0032.wav,1
a0033,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0033.wav,1
a0034,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0034.wav,1
a0035,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0035.wav,1
a0036,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0036.wav,1
a0037,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0037.wav,1
a0038,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0038.wav,1
a0039,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0039.wav,1
a0040,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0040.wav,1
a0041,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0041.wav,1
a0042,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0042.wav,1
a0043,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0043.wav,1
a0044,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0044.wav,1
a0045,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0045.wav,1
a0046,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0046.wav,1
a0047,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0047.wav,1
a0048,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0048.wav,1
a0049,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0049.wav,1
a0050,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0050.wav,1
a0051,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0051.wav,0
a0052,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0052.wav,1
a0053,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0053.wav,1
a0054,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0054.wav,1
a0055,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0055.wav,1
a0056,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0056.wav,1
a0057,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0057.wav,1
a0058,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0058.wav,1
a0059,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0059.wav,1
a0060,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0060.wav,1
a0061,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0061.wav,1
a0062,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0062.wav,1
a0063,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0063.wav,1
a0064,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0064.wav,1
a0065,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0065.wav,1
a0066,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0066.wav,1
a0067,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0067.wav,1
a0068,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0068.wav,1
a0069,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0069.wav,1
a0070,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0070.wav,1
a0071,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0071.wav,1
a0072,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0072.wav,1
a0073,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0073.wav,1
a0074,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0074.wav,0
a0075,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0075.wav,1
a0076,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0076.wav,1
a0077,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0077.wav,1
a0078,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0078.wav,1
a0079,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0079.wav,1
a0080,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0080.wav,1
a0081,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0081.wav,1
