fname,label,filepath,score
a0001,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0001.wav,1
a0002,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0002.wav,1
a0003,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0003.wav,1
a0004,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0004.wav,1
a0005,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0005.wav,1
a0006,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0006.wav,0
a0007,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0007.wav,1
a0008,1,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0008.wav,0
a0009,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0009.wav,1
a0010,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0010.wav,1
a0011,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0011.wav,1
a0012,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0012.wav,1
a0013,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0013.wav,1
a0014,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0014.wav,1
a0015,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0015.wav,1
a0016,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0016.wav,1
a0017,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0017.wav,1
a0018,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0018.wav,1
a0019,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0019.wav,1
a0020,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0020.wav,1
a0021,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0021.wav,1
a0022,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0022.wav,1
a0023,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0023.wav,1
a0024,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0024.wav,1
a0025,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0025.wav,1
a0026,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0026.wav,1
a0027,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0027.wav,1
a0028,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0028.wav,1
a0029,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0029.wav,1
a0030,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0030.wav,1
a0031,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0031.wav,1
a0032,0,/home/rasp4b/FypPi/data/raw/DataSet2/training-a/a0032.wav,1
